Process Task,Process Category,Process,Inputs1,Inputs2,Inputs3,Inputs4,Inputs5,Inputs6,Inputs7,Inputs8,T&T1,T&T2,T&T3,T&T4,T&T5,T&T6,T&T7,T&T8,T&T9,Outputs1,Outputs2,Outputs3,Outputs4,Outputs5,Outputs6,Outputs7,Outputs8,Outputs9,Outputs10
Develop Project Charter,Integration,Initiating,Business Documents,Agreements,Enterprise Environmental Factors,Organizational Process Assets,,,,,Expert Judgment,Data Gathering,Interpersonal and Team Skills,Meetings,,,,,,Project Charter,Assumption Log,,,,,,,,
Identify Stakeholders,Stakeholder,Initiating,Project Charter,Business Documents,Project Management Plan,Project Documents,Agreements,Enterprise Environmental Factors,Organizational Process Assets,,Expert Judgment,Data Gathering,Data Analysis,Data Representation,Meetings,,,,,Stakeholder Register,Change Requests,Project Management Plan Updates,Project Documents Updates,,,,,,
Develop Project Management Plan,Integration,Planning,Project Charter,Outputs from Other Processes,Enterprise Environmental Factors,Organizational Process Assets,,,,,Expert Judgment,Data Gathering,Interpersonal and Team Skills,Meetings,,,,,,Project Management Plan,,,,,,,,,
Plan Schedule Management,Schedule,Planning,Project Charter,Project Management Plan,Enterprise Environmental Factors,Organizational Process Assets,,,,,Expert Judgment,Data Analysis,Meetings,,,,,,,Schedule Management Plan,,,,,,,,,
Define Activities,Schedule,Planning,Project Management Plan,Enterprise Environmental Factors,Organizational Process Assets,,,,,,Expert Judgment,Decomposition,Rolling Wave Planning,Meetings,,,,,,Activity List,Activity Attributes,Milestone List,Change Requests,Project Management Plan Updates,,,,,
Sequence Activities,Schedule,Planning,Project Management Plan,Project Documents,Enterprise Environmental Factors,Organizational Process Assets,,,,,Precedence Diagramming Method,Dependency Determination and Integration,Leads and Lags,Project Management Information System,,,,,,Project Schedule Network Diagrams,Project Documents Updates,,,,,,,,
Estimate Activity Durations,Schedule,Planning,Project management Plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,,Expert judgment,Analogous estimating,Parametric estimating,Three-point estimating,Bottom-up estimating,Data analysis,Decision making,Meetings,,Duration estimates,Basis of estimates,Project documents updates,,,,,,,
Develop Schedule,Schedule,Planning,Project management Plan,Project documents,Agreements,Enterprise environmental factors,Organizational process assets,,,,Schedule network analysis,Critical path method,Resource optimization,Data analysis,Leads and lags,Schedule compression,Project management information system,Agile release planning,,Schedule baseline,Project schedule,Schedule data,Project calendars,Change requests,Project management plan updates,Project documents updates,,,
Plan Scope Management,Scope,Planning,Project charter,Project management plan,Enterprise environmental factors,Organizational process assets,,,,,Expert judgment,Data analysis,Meetings,,,,,,,Scope management plan,Requirements management plan,,,,,,,,
Collect Requirements,Scope,Planning,Project charter,Project management plan,Project documents,Business documents,Agreements,Enterprise environmental factors,Organizational process assets,,Expert judgment,Data gathering,Data analysis,Decision making,Data representation,Interpersonal and team skills,Context diagram,Prototypes,,Requirements documentation,Requirements traceability matrix,,,,,,,,
Define Scope,Scope,Planning,Project charter,Project management plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,Expert judgment,Data analysis,Decision making,Interpersonal and team skills,Product analysis,,,,,Project scope statement,Project documents updates,,,,,,,,
Create WBS,Scope,Planning,Project management Plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,,Expert judgment,Decomposition,,,,,,,,Scope baseline,Project documents updates,,,,,,,,
Plan Cost Management,Cost,Planning,Project charter,Project management plan,Enterprise environmental factors,Organizational process assets,,,,,Expert judgment,Data analysis,Meetings,,,,,,,Cost management plan,,,,,,,,,
Estimate Costs,Cost,Planning,Project management Plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,,Expert judgment,Analogous estimating,Parametric estimating,Bottom-up estimating,Three-point estimating,Data analysis,Project management information system,Decision making,,Cost estimates,Basis of estimates,Project documents updates,,,,,,,
Determine Budget,Cost,Planning,Project management Plan,Project documents,Business documents,Agreements,Enterprise environmental factors,Organizational process assets,,,Expert judgment,Cost aggregation,Data analysis,Historical information review,Funding limit reconciliation,Financing,,,,Cost baseline,Project funding requirements,Project documents updates,,,,,,,
Plan Quality Management,Quality,Planning,Project charter,Project management plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,Expert judgement,Data gathering,Data analysis,Decision making,Data representation,Test and inspection planning,Meetings,,,Quality management plan,Quality metrics,Project management plan updates,,,,,,,
Plan Resource Management,Resource,Planning,Project charter,Project management plan,Project documents,Enterprise environmental factors,Organizational process assets,,,,Expert judgment,Data representation,Organizational theory,Meetings,,,,,,Resource management plan,Team charter,Project documents updates,,,,,,,
